Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
4.887627e-01  28.004041  4.109277e-01  5.494498e-01  -2.600720
4.903343e-01  28.094086  4.115194e-01  5.510334e-01  -2.588221
4.919059e-01  28.184131  4.121031e-01  5.525975e-01  -2.575911
4.934775e-01  28.274176  4.126786e-01  5.541421e-01  -2.563789
4.950491e-01  28.364221  4.132459e-01  5.556668e-01  -2.551855
4.966206e-01  28.454266  4.138051e-01  5.571715e-01  -2.540111
4.981922e-01  28.544311  4.143560e-01  5.586561e-01  -2.528555
4.997638e-01  28.634356  4.148986e-01  5.601202e-01  -2.517187
5.013354e-01  28.724401  4.154329e-01  5.615638e-01  -2.506009
5.029070e-01  28.814446  4.159589e-01  5.629866e-01  -2.495020
5.044785e-01  28.904491  4.164764e-01  5.643884e-01  -2.484219
5.060501e-01  28.994536  4.169855e-01  5.657691e-01  -2.473608
5.076217e-01  29.084581  4.174862e-01  5.671284e-01  -2.463186
5.091933e-01  29.174626  4.179783e-01  5.684662e-01  -2.452953
5.107649e-01  29.264671  4.184618e-01  5.697823e-01  -2.442910
5.123364e-01  29.354716  4.189368e-01  5.710765e-01  -2.433057
5.139080e-01  29.444761  4.194031e-01  5.723485e-01  -2.423394
5.154796e-01  29.534806  4.198608e-01  5.735983e-01  -2.413921
5.170512e-01  29.624851  4.203097e-01  5.748257e-01  -2.404638
5.186228e-01  29.714896  4.207499e-01  5.760304e-01  -2.395546
5.201943e-01  29.804941  4.211813e-01  5.772122e-01  -2.386645
5.217659e-01  29.894986  4.216039e-01  5.783711e-01  -2.377935
5.233375e-01  29.985031  4.220176e-01  5.795067e-01  -2.369415
5.249091e-01  30.075076  4.224224e-01  5.806190e-01  -2.361088
5.264807e-01  30.165121  4.228183e-01  5.817077e-01  -2.352952
5.280523e-01  30.255166  4.232052e-01  5.827727e-01  -2.345008
5.296238e-01  30.345211  4.235830e-01  5.838139e-01  -2.337256
5.311954e-01  30.435256  4.239518e-01  5.848309e-01  -2.329697
5.327670e-01  30.525300  4.243115e-01  5.858237e-01  -2.322331
5.343386e-01  30.615345  4.246621e-01  5.867921e-01  -2.315158
5.359102e-01  30.705390  4.250035e-01  5.877359e-01  -2.308178
5.374817e-01  30.795435  4.253356e-01  5.886549e-01  -2.301392
5.390533e-01  30.885480  4.256585e-01  5.895490e-01  -2.294801
5.406249e-01  30.975525  4.259721e-01  5.904181e-01  -2.288404
5.421965e-01  31.065570  4.262764e-01  5.912618e-01  -2.282202
5.437681e-01  31.155615  4.265713e-01  5.920802e-01  -2.276195
5.453396e-01  31.245660  4.268568e-01  5.928730e-01  -2.270384
5.469112e-01  31.335705  4.271328e-01  5.936400e-01  -2.264769
5.484828e-01  31.425750  4.273994e-01  5.943811e-01  -2.259350
5.500544e-01  31.515795  4.276564e-01  5.950962e-01  -2.254128
5.516260e-01  31.605840  4.279038e-01  5.957851e-01  -2.249104
5.531976e-01  31.695885  4.281417e-01  5.964476e-01  -2.244277
5.547691e-01  31.785930  4.283699e-01  5.970835e-01  -2.239649
5.563407e-01  31.875975  4.285884e-01  5.976929e-01  -2.235219
5.579123e-01  31.966020  4.287972e-01  5.982753e-01  -2.230989
5.594839e-01  32.056065  4.289962e-01  5.988309e-01  -2.226958
5.610555e-01  32.146110  4.291855e-01  5.993593e-01  -2.223128
5.626270e-01  32.236155  4.293649e-01  5.998605e-01  -2.219498
5.641986e-01  32.326200  4.295344e-01  6.003342e-01  -2.216069
5.657702e-01  32.416245  4.296940e-01  6.007805e-01  -2.212842
5.673418e-01  32.506290  4.298436e-01  6.011990e-01  -2.209817
5.689134e-01  32.596335  4.299833e-01  6.015898e-01  -2.206995
5.704849e-01  32.686380  4.301130e-01  6.019526e-01  -2.204377
5.720565e-01  32.776425  4.302325e-01  6.022874e-01  -2.201963
5.736281e-01  32.866470  4.303420e-01  6.025939e-01  -2.199753
5.751997e-01  32.956515  4.304413e-01  6.028721e-01  -2.197748
5.767713e-01  33.046560  4.305305e-01  6.031218e-01  -2.195949
5.783429e-01  33.136604  4.306094e-01  6.033430e-01  -2.194357
5.799144e-01  33.226649  4.306781e-01  6.035355e-01  -2.192972
5.814860e-01  33.316694  4.307365e-01  6.036991e-01  -2.191795
5.830576e-01  33.406739  4.307845e-01  6.038338e-01  -2.190826
5.846292e-01  33.496784  4.308222e-01  6.039394e-01  -2.190066
5.862008e-01  33.586829  4.308495e-01  6.040159e-01  -2.189516
5.877723e-01  33.676874  4.308663e-01  6.040631e-01  -2.189177
5.893439e-01  33.766919  4.308726e-01  6.040809e-01  -2.189049
5.909155e-01  33.856964  4.308685e-01  6.040692e-01  -2.189133
5.924871e-01  33.947009  4.308537e-01  6.040279e-01  -2.189430
5.940587e-01  34.037054  4.308284e-01  6.039569e-01  -2.189940
5.956302e-01  34.127099  4.307925e-01  6.038562e-01  -2.190665
5.972018e-01  34.217144  4.307459e-01  6.037255e-01  -2.191605
5.987734e-01  34.307189  4.306886e-01  6.035648e-01  -2.192761
6.003450e-01  34.397234  4.306205e-01  6.033741e-01  -2.194133
6.019166e-01  34.487279  4.305417e-01  6.031532e-01  -2.195723
6.034881e-01  34.577324  4.304520e-01  6.029021e-01  -2.197532
6.050597e-01  34.667369  4.303516e-01  6.026206e-01  -2.199560
6.066313e-01  34.757414  4.302402e-01  6.023088e-01  -2.201808
6.082029e-01  34.847459  4.301179e-01  6.019664e-01  -2.204278
6.097745e-01  34.937504  4.299846e-01  6.015935e-01  -2.206969
6.113461e-01  35.027549  4.298404e-01  6.011899e-01  -2.209883
6.129176e-01  35.117594  4.296851e-01  6.007556e-01  -2.213021
6.144892e-01  35.207639  4.295188e-01  6.002906e-01  -2.216385
6.160608e-01  35.297684  4.293413e-01  5.997947e-01  -2.219974
6.176324e-01  35.387729  4.291528e-01  5.992680e-01  -2.223789
6.192040e-01  35.477774  4.289530e-01  5.987102e-01  -2.227833
